fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
4021,,3097;1?,,202110018,15,9.2,118.983168,24.934258,265.7,30,2024-04-20 09:17:19,2901
3840,,3097;1?,,202110018,15,0.0,118.97575,24.941723,0.0,30,2024-04-21 10:16:01,2805
3829,,3097;1?,,202110018,15,8.7,118.972462,24.81429,202.4,30,2024-04-21 12:22:59,2772
3651,,3097;1?,,202110018,15,7.9,118.959278,24.783927,202.3,30,2024-04-21 12:37:00,2635
3344,,3097;1?,,202110018,15,7.2,118.757858,24.355667,202.8,30,2024-04-21 16:08:35,2330
3341,,3097;1?,,202110018,15,6.6,118.71422,24.264018,202.1,30,2024-04-21 16:58:35,2351
3435,,3097;1?,,202110018,15,7.0,118.712518,24.260323,201.3,30,2024-04-21 17:00:36,2414
3473,,3097;1?,,202110018,15,7.0,118.66374,24.153042,197.4,30,2024-04-21 18:00:06,2418
3176,,3097;1?,,202110018,15,7.1,118.655513,24.125148,183.9,30,2024-04-21 18:15:06,2207
3170,,,3097;1=?A1=?A1=?A1=?,202110018,15,6.6,118.646958,24.098307,201.7,0,2024-04-21 18:29:37,2220
3310,,,3097;1=?A1=?A1=?A1=?,202110018,15,7.1,118.637045,24.07595,201.7,0,2024-04-21 18:42:07,2299
2919,,,3097;1=?A1=?A1=?A1=?,202110018,15,6.7,118.63228,24.065147,200.8,0,2024-04-21 18:48:07,2073
2910,,,3097;1=?A1=?A1=?A1=?,202110018,15,7.0,118.622737,24.043523,198.6,0,2024-04-21 19:00:08,2054
3424,,,3097;1=?A1=?A1=?A1=?,202110018,15,6.4,118.606898,24.009815,206.7,0,2024-04-21 19:19:38,2397
3218,,,3097;1=?A1=?A1=?A1=?,202110018,15,6.8,118.603685,24.002963,202.6,0,2024-04-21 19:23:37,2278
3424,,,3097;1=?A1=?A1=?A1=?,202110018,15,6.6,118.601337,23.997927,200.9,0,2024-04-21 19:26:37,2416
