fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
6046,,,140.0,608680322,15,13.0,117.518563,23.747135,128.3,30,2024-04-16 09:04:20,4273
6476,,,140.0,608680322,15,1.1,117.522187,23.744227,123.5,30,2024-04-16 09:06:47,4596
6524,,,140.0,608680322,15,19.6,117.604252,23.717062,86.7,30,2024-04-16 09:28:12,4632
6132,,,140.0,608680322,15,21.3,117.733167,23.713708,94.4,30,2024-04-16 09:49:05,4296
6275,,140.0,,608680322,15,21.3,117.766787,23.714085,82.6,30,2024-04-16 09:54:11,4401
5595,,,140.0,608680322,15,6.8,118.311332,23.74945,127.0,30,2024-04-16 16:20:43,3769
5510,,,140.0,608680322,15,0.7,118.311163,23.747695,128.9,30,2024-04-16 17:31:59,3768
5597,,,140.0,608680322,15,0.4,118.32747,23.742552,130.8,30,2024-04-16 18:41:31,3896
5497,,,140.0,608680322,15,1.0,118.330768,23.741143,114.3,30,2024-04-16 18:53:32,3831
5322,,,140.0,608680322,15,1.0,118.3355,23.739418,99.7,30,2024-04-16 19:10:55,3700
5422,,,140.0,608680322,15,0.9,118.33941,23.737992,132.9,30,2024-04-16 19:31:59,3818
5402,,,140.0,608680322,15,0.6,118.340908,23.737255,111.6,30,2024-04-16 19:38:34,3810
5345,,,140.0,608680322,15,0.9,118.341885,23.736833,121.9,30,2024-04-16 19:43:15,3761
5154,,,140.0,608680322,15,19.8,117.864593,23.728405,273.2,30,2024-04-16 22:13:38,3576
5769,,,140.0,608680322,15,21.8,117.790972,23.730625,268.3,30,2024-04-16 22:25:11,4024
5776,,,140.0,608680322,15,0.4,117.729735,23.731713,236.1,30,2024-04-16 22:44:55,4076
5561,,140.0,,608680322,15,7.9,117.725233,23.732085,247.3,30,2024-04-16 22:52:37,3902
5449,,,140.0,608680322,15,7.5,117.705427,23.733043,265.2,30,2024-04-16 23:02:57,3812
5491,,,140.0,608680322,15,10.3,117.634285,23.718415,264.3,30,2024-04-16 23:30:55,3830
5453,,140.0,,608680322,15,10.7,117.587412,23.715638,287.3,30,2024-04-16 23:46:01,3815
5224,,,140.0,608680322,15,0.0,117.510293,23.763328,264.2,30,2024-04-18 11:11:51,3257
5108,,,140.0,608680322,15,0.0,117.51033,23.763322,219.4,30,2024-04-19 23:56:12,3497
5098,,,140.0,608680322,15,0.0,117.510337,23.763318,235.2,30,2024-04-20 00:08:20,3505
4963,,,140.0,608680322,15,8.7,117.511203,23.75847,159.9,30,2024-04-20 00:16:37,3370
5207,,,140.0,608680322,15,8.4,117.518438,23.748043,123.0,30,2024-04-20 00:21:03,3550
5403,,,140.0,608680322,15,7.2,117.522177,23.745615,132.2,30,2024-04-20 00:28:37,3684
5028,,140.0,,608680322,15,15.0,117.572018,23.69146,140.7,30,2024-04-20 00:50:23,3415
5292,,140.0,,608680322,15,15.8,117.593438,23.660575,144.1,30,2024-04-20 01:00:26,3626
5506,,,140.0,608680322,15,12.1,117.623355,23.623985,147.1,30,2024-04-20 01:12:19,3798
5619,,,140.0,608680322,15,15.2,117.670055,23.569365,140.6,30,2024-04-20 01:29:22,3861
5839,,,140.0,608680322,15,14.5,117.737207,23.488175,149.5,30,2024-04-20 01:53:25,4048
5579,,,140.0,608680322,15,12.6,117.762272,23.450937,151.9,30,2024-04-20 02:05:27,3858
5485,,,140.0,608680322,15,12.4,117.794497,23.405257,138.9,30,2024-04-20 02:20:28,3817
5859,,140.0,,608680322,15,10.1,117.877435,23.29813,147.3,30,2024-04-20 03:01:19,4093
5724,,140.0,,608680322,15,3.0,118.299648,22.80573,74.1,30,2024-04-20 06:41:45,4106
5497,,140.0,,608680322,15,1.0,118.349348,22.869223,136.4,30,2024-04-20 23:03:25,3766
5708,,140.0,,608680322,15,1.2,118.34904,22.809193,329.2,30,2024-04-21 04:39:55,4013
6421,,140.0,,608680322,15,13.9,118.31761,22.786475,302.2,30,2024-04-21 11:13:35,4567
6369,,140.0,,608680322,15,1.2,118.312765,22.78801,135.5,30,2024-04-21 11:15:22,4524
5009,,140.0,,608680322,15,2.2,118.305932,22.762055,88.2,30,2024-04-21 18:52:57,3344
4772,,,140.0,608680322,15,3.2,118.306472,22.762175,60.1,30,2024-04-21 18:53:37,3205
4751,,,140.0,608680322,15,3.0,118.313078,22.763565,68.0,30,2024-04-21 19:02:17,3168
5278,,,140.0,608680322,15,8.3,118.31041,22.782967,101.4,30,2024-04-21 19:59:19,3577
5746,,,140.0,608680322,15,0.9,118.312463,22.793098,55.7,30,2024-04-21 20:38:53,3929
5637,,,140.0,608680322,15,0.8,118.318385,22.80092,46.6,30,2024-04-21 21:08:41,3856
5601,,140.0,,608680322,15,0.8,118.435055,22.828207,154.0,30,2024-04-21 23:38:04,3878
5293,,,140.0,608680322,15,0.7,118.43686,22.825235,152.1,30,2024-04-21 23:50:22,3654
5587,,,140.0,608680322,15,1.0,118.43939,22.820807,153.4,30,2024-04-22 00:08:46,3842
5297,,,140.0,608680322,15,1.3,118.440665,22.817758,152.4,30,2024-04-22 00:16:55,3676
5254,,,140.0,608680322,15,0.9,118.441362,22.816037,160.9,30,2024-04-22 00:21:48,3661
5133,,,140.0,608680322,15,0.8,118.445658,22.801095,156.4,30,2024-04-22 01:04:24,3575
5694,,,140.0,608680322,15,1.1,118.44582,22.798498,161.7,30,2024-04-22 01:12:29,3927
5485,,,140.0,608680322,15,0.9,118.445847,22.797415,182.1,30,2024-04-22 01:15:36,3816
5379,,,140.0,608680322,15,1.0,118.44575,22.79626,177.4,30,2024-04-22 01:19:09,3766
5536,,,140.0,608680322,15,0.7,118.445788,22.794543,189.0,30,2024-04-22 01:24:47,3871
5356,,,140.0,608680322,15,1.0,118.44534,22.783272,204.6,0,2024-04-22 02:06:45,3733
5372,,,140.0,608680322,15,1.0,118.444672,22.780522,186.1,0,2024-04-22 02:18:28,3745
5771,,140.0,,608680322,15,0.4,118.43941,22.770707,214.3,30,2024-04-22 03:18:42,4127
5709,,140.0,,608680322,15,0.2,118.437277,22.769675,276.3,30,2024-04-22 03:43:55,4079
5632,,140.0,,608680322,15,2.5,118.418508,22.785448,169.2,30,2024-04-22 04:28:37,3993
5567,,140.0,,608680322,15,16.3,118.39074,22.793665,287.0,30,2024-04-22 04:42:43,3964
6080,,140.0,,608680322,15,1.0,118.377477,22.801165,67.3,30,2024-04-22 05:13:19,4385
5823,,140.0,,608680322,15,1.1,118.37862,22.802023,43.3,30,2024-04-22 05:16:21,4179
5683,,140.0,,608680322,15,1.9,118.380997,22.802358,80.3,30,2024-04-22 05:20:21,4076
5951,,140.0,,608680322,15,1.6,118.383548,22.802698,102.2,30,2024-04-22 05:25:01,4275
5707,,140.0,,608680322,15,1.5,118.386448,22.803015,93.5,30,2024-04-22 05:30:48,4137
6097,,,140.0,608680322,15,1.9,118.390175,22.803835,75.8,30,2024-04-22 05:37:54,4428
6317,,,140.0,608680322,15,2.1,118.391893,22.804025,70.7,30,2024-04-22 05:41:14,4570
5775,,,140.0,608680322,15,1.2,118.396683,22.805258,40.8,30,2024-04-22 05:49:19,4200
5891,,,140.0,608680322,15,1.3,118.398575,22.806107,64.5,30,2024-04-22 05:53:19,4277
5933,,,140.0,608680322,15,3.1,118.402633,22.807383,62.3,0,2024-04-22 06:01:05,4284
5922,,,140.0,608680322,15,1.7,118.404002,22.807692,95.8,30,2024-04-22 06:03:05,4278
6458,,140.0,,608680322,15,1.8,118.30527,22.781935,118.3,30,2024-04-22 06:59:10,4721
6575,,140.0,,608680322,15,0.9,118.300742,22.797322,33.3,30,2024-04-22 07:32:23,4756
6205,,140.0,,608680322,15,1.8,118.322742,22.814552,12.2,30,2024-04-22 08:19:30,4452
6154,,,140.0,608680322,15,20.9,118.350557,22.836185,66.6,30,2024-04-22 08:36:25,4437
5315,,,140.0,608680322,15,21.9,117.868233,23.461718,317.0,30,2024-04-22 15:36:25,3607
5653,,140.0,,608680322,15,21.7,117.826493,23.506707,326.5,30,2024-04-22 15:46:34,3875
5642,,,140.0,608680322,15,21.1,117.790237,23.532418,324.4,30,2024-04-22 15:55:14,3858
